staffId,name,skills,experience,educationLevel,positionRequirements
S031,姓名031,"['Project Management', 'Problem Solving']",14,PhD,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S032,姓名032,"['Problem Solving', 'Machine Learning', 'Leadership', 'Problem Solving']",18,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S033,姓名033,"['Machine Learning', 'Data Analysis', 'Communication', 'Communication']",2,Bachelor,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S034,姓名034,"['Problem Solving', 'Data Analysis', 'Problem Solving', 'Leadership']",3,Bachelor,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S035,姓名035,['Data Analysis'],16,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S036,姓名036,['Leadership'],9,PhD,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S037,姓名037,['Project Management'],4,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S038,姓名038,['Communication'],1,Bachelor,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S039,姓名039,"['Project Management', 'Leadership', 'Programming', 'Programming']",4,Master,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S040,姓名040,['Project Management'],1,PhD,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S041,姓名041,"['Programming', 'Data Analysis', 'Programming']",14,PhD,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S042,姓名042,['Machine Learning'],16,PhD,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S043,姓名043,"['Machine Learning', 'Data Analysis', 'Communication']",8,Bachelor,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S044,姓名044,"['Data Analysis', 'Project Management', 'Communication']",7,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S045,姓名045,"['Data Analysis', 'Project Management']",3,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S046,姓名046,"['Leadership', 'Innovation', 'Project Management']",17,Master,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S047,姓名047,['Programming'],1,PhD,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S048,姓名048,"['Project Management', 'Innovation', 'Programming', 'Programming']",16,Bachelor,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S049,姓名049,['Programming'],12,PhD,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S050,姓名050,['Leadership'],19,PhD,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S051,姓名051,"['Programming', 'Data Analysis']",14,Master,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S052,姓名052,['Machine Learning'],6,PhD,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S053,姓名053,"['Leadership', 'Innovation', 'Leadership']",6,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S054,姓名054,"['Data Analysis', 'Leadership', 'Leadership']",13,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S055,姓名055,"['Machine Learning', 'Communication']",19,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S056,姓名056,['Programming'],8,Bachelor,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S057,姓名057,"['Project Management', 'Leadership', 'Data Analysis']",2,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S058,姓名058,"['Problem Solving', 'Project Management', 'Communication', 'Innovation']",1,PhD,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S059,姓名059,['Leadership'],15,PhD,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S060,姓名060,"['Problem Solving', 'Leadership', 'Programming']",1,Bachelor,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S061,姓名061,['Communication'],5,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S062,姓名062,['Project Management'],16,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S063,姓名063,"['Programming', 'Programming', 'Innovation']",19,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S064,姓名064,"['Machine Learning', 'Machine Learning', 'Problem Solving', 'Innovation']",4,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S065,姓名065,['Problem Solving'],3,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S066,姓名066,"['Communication', 'Communication']",17,PhD,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S067,姓名067,"['Communication', 'Communication', 'Innovation', 'Innovation']",17,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S068,姓名068,"['Project Management', 'Machine Learning', 'Leadership']",12,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S069,姓名069,"['Data Analysis', 'Leadership', 'Innovation', 'Data Analysis']",14,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S070,姓名070,['Data Analysis'],6,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S071,姓名071,"['Innovation', 'Data Analysis', 'Communication']",3,Bachelor,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S072,姓名072,['Data Analysis'],9,Bachelor,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S073,姓名073,"['Leadership', 'Innovation', 'Project Management']",5,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S074,姓名074,"['Data Analysis', 'Innovation', 'Problem Solving']",17,Bachelor,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S075,姓名075,['Programming'],14,PhD,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S076,姓名076,"['Communication', 'Project Management']",3,PhD,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S077,姓名077,"['Programming', 'Innovation', 'Project Management']",1,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S078,姓名078,"['Project Management', 'Data Analysis', 'Communication', 'Data Analysis']",1,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S079,姓名079,"['Data Analysis', 'Machine Learning']",3,Bachelor,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S080,姓名080,"['Communication', 'Innovation', 'Leadership', 'Machine Learning']",18,PhD,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S081,姓名081,"['Data Analysis', 'Problem Solving', 'Data Analysis']",10,PhD,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S082,姓名082,"['Data Analysis', 'Programming', 'Data Analysis', 'Machine Learning']",3,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S083,姓名083,"['Communication', 'Innovation']",8,PhD,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S084,姓名084,"['Problem Solving', 'Project Management', 'Data Analysis']",14,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S085,姓名085,['Programming'],18,Master,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S086,姓名086,"['Machine Learning', 'Problem Solving']",15,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S087,姓名087,"['Machine Learning', 'Project Management', 'Innovation', 'Project Management']",2,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S088,姓名088,"['Communication', 'Leadership', 'Programming']",10,Master,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S089,姓名089,"['Programming', 'Data Analysis', 'Leadership', 'Innovation']",2,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S090,姓名090,"['Problem Solving', 'Communication', 'Machine Learning', 'Innovation']",17,PhD,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
S091,姓名091,"['Programming', 'Leadership']",8,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S092,姓名092,"['Project Management', 'Data Analysis', 'Data Analysis', 'Communication']",1,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S093,姓名093,"['Innovation', 'Project Management', 'Problem Solving']",9,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S094,姓名094,"['Communication', 'Communication', 'Programming']",11,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S095,姓名095,"['Programming', 'Machine Learning', 'Programming', 'Leadership']",16,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S096,姓名096,"['Communication', 'Project Management', 'Leadership']",7,Master,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S097,姓名097,"['Data Analysis', 'Data Analysis', 'Project Management', 'Project Management']",10,Master,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S098,姓名098,"['Machine Learning', 'Project Management', 'Data Analysis']",3,Bachelor,"{'requiredSkills': ['Data Analysis', 'Machine Learning'], 'minimumExperience': 3}"
S099,姓名099,"['Communication', 'Data Analysis', 'Data Analysis']",18,PhD,"{'requiredSkills': ['Programming', 'Innovation'], 'minimumExperience': 2}"
S100,姓名100,"['Leadership', 'Leadership']",13,Bachelor,"{'requiredSkills': ['Leadership', 'Project Management'], 'minimumExperience': 5}"
